""	"1"	"2"	"3"	"4"	"5"	"6"	"7"	"8"	"9"	"10"	"11"	"12"	"13"	"14"	"15"	"16"	"label"
"9559285"	0.349333333333333	0.768	0.48	0.333333333333333	0.0533333333333333	0.00533333333333333	0.008	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559299"	0.487037037037037	0.857407407407407	0.35	0.248148148148148	0.0444444444444444	0.0037037037037037	0.0037037037037037	0.0037037037037037	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559300"	0.2	1.4	0.2	0	0	0	0	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559324"	0.4	1.4	0	0	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559325"	0.350943396226415	0.549056603773585	0.332075471698113	0.464150943396226	0.2	0.0509433962264151	0.00943396226415094	0.0188679245283019	0.0207547169811321	0.00188679245283019	0	0	0	0	0	1e-05	"c"
"9559326"	0.377596741344196	1.13319755600815	0.164562118126273	0.195112016293279	0.0696537678207739	0.0566191446028513	0.00162932790224033	0.000407331975560081	0.000407331975560081	0	0	0.000407331975560081	0	0	0	1e-05	"c"
"9559327"	0.371314741035857	1.29521912350598	0.105179282868526	0.195617529880478	0.0131474103585657	0.0103585657370518	0.00796812749003984	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559332"	0.428813559322034	0.756779661016949	0.475423728813559	0.135593220338983	0.143220338983051	0.00593220338983051	0.011864406779661	0.0152542372881356	0.0203389830508475	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559334"	0.433333333333333	0.866666666666667	0.444444444444444	0.0444444444444444	0.188888888888889	0.0111111111111111	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559335"	0.6125	0.6875	0.4875	0.0125	0.1875	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559336"	0.488	0.856	0.61	0.028	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559394"	0.405405405405405	0.783783783783784	0.52972972972973	0.12972972972973	0.145945945945946	0	0	0	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559395"	0.5	0.775	0.5	0.05	0.1375	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559396"	0.339506172839506	0.701234567901235	0.523456790123457	0.22716049382716	0.134567901234568	0.0160493827160494	0.0160493827160494	0.0246913580246914	0.0135802469135802	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559397"	0.418	0.91	0.586	0.048	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	1e-05	"c"
"9559399"	0.578260869565217	0.665217391304348	0.456521739130435	0.0695652173913043	0.0304347826086957	0.0869565217391304	0.0652173913043478	0	0	0.0217391304347826	0.00869565217391304	0.0130434782608696	1e-05	1e-05	1e-05	1e-05	"c"
"9559411"	0.475949367088608	0.693248945147679	0.317721518987342	0.39957805907173	0.050210970464135	0.0181434599156118	0.029535864978903	0.0118143459915612	0.0029535864978903	0.000421940928270042	0	0	0	0	1e-05	1e-05	"c"
